,Month,Breakdown,Country,Number of Tourists
396,01/03/2015,UN passport holders and others,Unknown,23.0
397,01/04/2015,Europe,Unknown,15764.0
398,01/04/2015,Asia,Unknown,13490.0
399,01/04/2015,Africa,Unknown,937.0
400,01/04/2015,Americas,Unknown,4578.0
401,01/04/2015,Oceania,Unknown,2190.0
402,01/04/2015,the Middle East,Unknown,3408.0
403,01/04/2015,UN passport holders and others,Unknown,32.0
404,01/05/2015,Europe,Unknown,10134.0
405,01/05/2015,Asia,Unknown,14699.0
406,01/05/2015,Africa,Unknown,716.0
407,01/05/2015,Americas,Unknown,3683.0
408,01/05/2015,Oceania,Unknown,1866.0
409,01/05/2015,the Middle East,Unknown,2740.0
410,01/05/2015,UN passport holders and others,Unknown,31.0
411,01/06/2015,Europe,Unknown,8158.0
412,01/06/2015,Asia,Unknown,12746.0
413,01/06/2015,Africa,Unknown,754.0
414,01/06/2015,Americas,Unknown,3004.0
415,01/06/2015,Oceania,Unknown,2017.0
416,01/06/2015,the Middle East,Unknown,2341.0
417,01/06/2015,UN passport holders and others,Unknown,15.0
418,01/07/2015,Europe,Unknown,14189.0
419,01/07/2015,Asia,Unknown,14234.0
420,01/07/2015,Africa,Unknown,901.0
421,01/07/2015,Americas,Unknown,3458.0
422,01/07/2015,Oceania,Unknown,2202.0
423,01/07/2015,the Middle East,Unknown,4782.0
424,01/07/2015,UN passport holders and others,Unknown,16.0
425,01/08/2015,Europe,Unknown,13266.0
426,01/08/2015,Asia,Unknown,14880.0
427,01/08/2015,Africa,Unknown,975.0
428,01/08/2015,Americas,Unknown,3179.0
429,01/08/2015,Oceania,Unknown,1659.0
430,01/08/2015,the Middle East,Unknown,5215.0
431,01/08/2015,UN passport holders and others,Unknown,38.0
432,01/09/2015,Europe,Unknown,12391.0
433,01/09/2015,Asia,Unknown,14781.0
434,01/09/2015,Africa,Unknown,818.0
435,01/09/2015,Americas,Unknown,3423.0
436,01/09/2015,Oceania,Unknown,2141.0
437,01/09/2015,the Middle East,Unknown,4674.0
438,01/09/2015,UN passport holders and others,Unknown,22.0
439,01/10/2015,Europe,Unknown,17372.0
440,01/10/2015,Asia,Unknown,15069.0
441,01/10/2015,Africa,Unknown,598.0
442,01/10/2015,Americas,Unknown,3614.0
443,01/10/2015,Oceania,Unknown,1609.0
444,01/10/2015,the Middle East,Unknown,2152.0
445,01/10/2015,UN passport holders and others,Unknown,29.0
446,01/11/2015,Europe,Unknown,15518.0
447,01/11/2015,Asia,Unknown,14831.0
448,01/11/2015,Africa,Unknown,482.0
449,01/11/2015,Americas,Unknown,3496.0
450,01/11/2015,Oceania,Unknown,1311.0
451,01/11/2015,the Middle East,Unknown,2180.0
452,01/11/2015,UN passport holders and others,Unknown,27.0
453,01/12/2015,Europe,Unknown,22816.0
454,01/12/2015,Asia,Unknown,17545.0
455,01/12/2015,Africa,Unknown,1360.0
456,01/12/2015,Americas,Unknown,6220.0
457,01/12/2015,Oceania,Unknown,2144.0
458,01/12/2015,the Middle East,Unknown,3969.0
459,01/12/2015,UN passport holders and others,Unknown,34.0
460,01/01/2016,Europe,Unknown,20590.0
461,01/01/2016,Asia,Unknown,11710.0
462,01/01/2016,Africa,Unknown,658.0
463,01/01/2016,Americas,Unknown,4318.0
464,01/01/2016,Oceania,Unknown,3536.0
465,01/01/2016,the Middle East,Unknown,4339.0
466,01/01/2016,UN passport holders and others,Unknown,30.0
467,01/02/2016,Europe,Unknown,21842.0
468,01/02/2016,Asia,Unknown,12132.0
469,01/02/2016,Africa,Unknown,595.0
470,01/02/2016,Americas,Unknown,4111.0
471,01/02/2016,Oceania,Unknown,1319.0
472,01/02/2016,the Middle East,Unknown,2734.0
473,01/02/2016,UN passport holders and others,Unknown,49.0
474,01/03/2016,Europe,Unknown,21134.0
475,01/03/2016,Asia,Unknown,13569.0
476,01/03/2016,Africa,Unknown,827.0
477,01/03/2016,Americas,Unknown,4741.0
478,01/03/2016,Oceania,Unknown,1706.0
479,01/03/2016,the Middle East,Unknown,4338.0
480,01/03/2016,UN passport holders and others,Unknown,28.0
481,01/04/2016,Europe,Unknown,15971.0
482,01/04/2016,Asia,Unknown,15191.0
483,01/04/2016,Africa,Unknown,982.0
484,01/04/2016,Americas,Unknown,3879.0
485,01/04/2016,Oceania,Unknown,2230.0
486,01/04/2016,the Middle East,Unknown,4415.0
487,01/04/2016,UN passport holders and others,Unknown,32.0
488,01/05/2016,Europe,Unknown,10776.0
489,01/05/2016,Asia,Unknown,14845.0
490,01/05/2016,Africa,Unknown,775.0
491,01/05/2016,Americas,Unknown,3438.0
492,01/05/2016,Oceania,Unknown,1592.0
493,01/05/2016,the Middle East,Unknown,4608.0
494,01/05/2016,UN passport holders and others,Unknown,35.0
495,01/06/2016,Europe,Unknown,8851.0
496,01/06/2016,Asia,Unknown,13371.0
497,01/06/2016,Africa,Unknown,493.0
498,01/06/2016,Americas,Unknown,3276.0
499,01/06/2016,Oceania,Unknown,2186.0
500,01/06/2016,the Middle East,Unknown,725.0
501,01/06/2016,UN passport holders and others,Unknown,9.0
502,01/07/2016,Europe,Unknown,16081.0
503,01/07/2016,Asia,Unknown,16632.0
504,01/07/2016,Africa,Unknown,1019.0
505,01/07/2016,Americas,Unknown,3960.0
506,01/07/2016,Oceania,Unknown,2452.0
507,01/07/2016,the Middle East,Unknown,7242.0
508,01/07/2016,UN passport holders and others,Unknown,29.0
509,01/08/2016,Europe,Unknown,15525.0
510,01/08/2016,Asia,Unknown,15318.0
511,01/08/2016,Africa,Unknown,1324.0
512,01/08/2016,Americas,Unknown,3607.0
513,01/08/2016,Oceania,Unknown,1969.0
514,01/08/2016,the Middle East,Unknown,6532.0
515,01/08/2016,UN passport holders and others,Unknown,31.0
516,01/09/2016,Europe,Unknown,13408.0
517,01/09/2016,Asia,Unknown,15844.0
518,01/09/2016,Africa,Unknown,1109.0
519,01/09/2016,Americas,Unknown,4251.0
520,01/09/2016,Oceania,Unknown,2658.0
521,01/09/2016,the Middle East,Unknown,6804.0
522,01/09/2016,UN passport holders and others,Unknown,34.0
523,01/10/2016,Europe,Unknown,21122.0
524,01/10/2016,Asia,Unknown,16737.0
525,01/10/2016,Africa,Unknown,748.0
526,01/10/2016,Americas,Unknown,4391.0
527,01/10/2016,Oceania,Unknown,2078.0
528,01/10/2016,the Middle East,Unknown,2398.0
529,01/10/2016,UN passport holders and others,Unknown,24.0
530,01/11/2016,Europe,Unknown,20116.0
531,01/11/2016,Asia,Unknown,16242.0
532,01/11/2016,Africa,Unknown,686.0
533,01/11/2016,Americas,Unknown,4580.0
534,01/11/2016,Oceania,Unknown,1890.0
535,01/11/2016,the Middle East,Unknown,3930.0
536,01/11/2016,UN passport holders and others,Unknown,32.0
537,01/12/2016,Europe,Unknown,23325.0
538,01/12/2016,Asia,Unknown,19464.0
539,01/12/2016,Africa,Unknown,1536.0
540,01/12/2016,Americas,Unknown,5906.0
541,01/12/2016,Oceania,Unknown,2092.0
542,01/12/2016,the Middle East,Unknown,3265.0
543,01/12/2016,UN passport holders and others,Unknown,42.0
544,01/01/2017,Europe,Unknown,23776.0
545,01/01/2017,Asia,Unknown,11867.0
546,01/01/2017,Africa,Unknown,877.0
547,01/01/2017,Americas,Unknown,5474.0
548,01/01/2017,Oceania,Unknown,2371.0
549,01/01/2017,the Middle East,Unknown,3969.0
550,01/01/2017,UN passport holders and others,Unknown,36.0
551,01/02/2017,Europe,Unknown,25348.0
552,01/02/2017,Asia,Unknown,12651.0
553,01/02/2017,Africa,Unknown,676.0
554,01/02/2017,Americas,Unknown,4574.0
555,01/02/2017,Oceania,Unknown,1657.0
556,01/02/2017,the Middle East,Unknown,3381.0
557,01/02/2017,UN passport holders and others,Unknown,15.0
558,01/03/2017,Europe,Unknown,20143.0
559,01/03/2017,Asia,Unknown,14911.0
560,01/03/2017,Africa,Unknown,1001.0
561,01/03/2017,Americas,Unknown,5440.0
562,01/03/2017,Oceania,Unknown,2180.0
563,01/03/2017,the Middle East,Unknown,3976.0
564,01/03/2017,UN passport holders and others,Unknown,19.0
565,01/04/2017,Europe,Unknown,22014.0
566,01/04/2017,Asia,Unknown,17971.0
567,01/04/2017,Africa,Unknown,1452.0
568,01/04/2017,Americas,Unknown,5294.0
569,01/04/2017,Oceania,Unknown,2924.0
570,01/04/2017,the Middle East,Unknown,4231.0
571,01/04/2017,UN passport holders and others,Unknown,23.0
572,01/05/2017,Europe,Unknown,10990.0
573,01/05/2017,Asia,Unknown,16267.0
574,01/05/2017,Africa,Unknown,1141.0
575,01/05/2017,Americas,Unknown,4214.0
576,01/05/2017,Oceania,Unknown,2080.0
577,01/05/2017,the Middle East,Unknown,2725.0
578,01/05/2017,UN passport holders and others,Unknown,8.0
579,01/06/2017,Europe,Unknown,9497.0
580,01/06/2017,Asia,Unknown,14879.0
581,01/06/2017,Africa,Unknown,880.0
582,01/06/2017,Americas,Unknown,4104.0
583,01/06/2017,Oceania,Unknown,2479.0
584,01/06/2017,the Middle East,Unknown,2603.0
585,01/06/2017,UN passport holders and others,Unknown,4.0
586,01/07/2017,Europe,Unknown,18311.0
587,01/07/2017,Asia,Unknown,14858.0
588,01/07/2017,Africa,Unknown,1710.0
589,01/07/2017,Americas,Unknown,5083.0
590,01/07/2017,Oceania,Unknown,3057.0
591,01/07/2017,the Middle East,Unknown,6593.0
592,01/07/2017,UN passport holders and others,Unknown,20.0
593,01/08/2017,Europe,Unknown,17896.0
594,01/08/2017,Asia,Unknown,17934.0
595,01/08/2017,Africa,Unknown,1631.0
596,01/08/2017,Americas,Unknown,4739.0
597,01/08/2017,Oceania,Unknown,2199.0
598,01/08/2017,the Middle East,Unknown,7547.0
599,01/08/2017,UN passport holders and others,Unknown,28.0
600,01/09/2017,Europe,Unknown,15108.0
601,01/09/2017,Asia,Unknown,17530.0
602,01/09/2017,Africa,Unknown,1194.0
603,01/09/2017,Americas,Unknown,4632.0
604,01/09/2017,Oceania,Unknown,3153.0
605,01/09/2017,the Middle East,Unknown,5429.0
606,01/09/2017,UN passport holders and others,Unknown,30.0
607,01/10/2017,Europe,Unknown,24285.0
608,01/10/2017,Asia,Unknown,18871.0
609,01/10/2017,Africa,Unknown,1000.0
610,01/10/2017,Americas,Unknown,5008.0
611,01/10/2017,Oceania,Unknown,2684.0
612,01/10/2017,the Middle East,Unknown,2286.0
613,01/10/2017,UN passport holders and others,Unknown,16.0
614,01/11/2017,Europe,Unknown,21979.0
615,01/11/2017,Asia,Unknown,18937.0
616,01/11/2017,Africa,Unknown,929.0
617,01/11/2017,Americas,Unknown,6269.0
618,01/11/2017,Oceania,Unknown,2703.0
619,01/11/2017,the Middle East,Unknown,3055.0
620,01/11/2017,UN passport holders and others,Unknown,17.0
621,01/12/2017,Europe,Unknown,27767.0
622,01/12/2017,Asia,Unknown,20566.0
623,01/12/2017,Africa,Unknown,2187.0
624,01/12/2017,Americas,Unknown,7141.0
625,01/12/2017,Oceania,Unknown,2821.0
626,01/12/2017,the Middle East,Unknown,3398.0
627,01/12/2017,UN passport holders and others,Unknown,21.0
628,01/01/2018,Europe,Unknown,28573.0
629,01/01/2018,Asia,Unknown,14819.0
630,01/01/2018,Africa,Unknown,1057.0
631,01/01/2018,Americas,Unknown,6581.0
632,01/01/2018,Oceania,Unknown,3395.0
633,01/01/2018,the Middle East,Unknown,5567.0
634,01/01/2018,UN passport holders and others,Unknown,18.0
635,01/02/2018,Europe,Unknown,29590.0
636,01/02/2018,Asia,Unknown,13783.0
637,01/02/2018,Africa,Unknown,708.0
638,01/02/2018,Americas,Unknown,5780.0
639,01/02/2018,Oceania,Unknown,2021.0
640,01/02/2018,the Middle East,Unknown,2723.0
641,01/02/2018,UN passport holders and others,Unknown,17.0
642,01/03/2018,Europe,Unknown,28345.0
643,01/03/2018,Asia,Unknown,18217.0
644,01/03/2018,Africa,Unknown,1115.0
645,01/03/2018,Americas,Unknown,6746.0
646,01/03/2018,Oceania,Unknown,3257.0
647,01/03/2018,the Middle East,Unknown,3608.0
648,01/03/2018,UN passport holders and others,Unknown,21.0
649,01/04/2018,Europe,Unknown,22210.0
650,01/04/2018,Asia,Unknown,19862.0
651,01/04/2018,Africa,Unknown,1355.0
652,01/04/2018,Americas,Unknown,5814.0
653,01/04/2018,Oceania,Unknown,4516.0
654,01/04/2018,the Middle East,Unknown,4599.0
655,01/04/2018,UN passport holders and others,Unknown,15.0
656,01/05/2018,Europe,Unknown,12095.0
657,01/05/2018,Asia,Unknown,16746.0
658,01/05/2018,Africa,Unknown,859.0
659,01/05/2018,Americas,Unknown,4630.0
660,01/05/2018,Oceania,Unknown,2907.0
661,01/05/2018,the Middle East,Unknown,2067.0
662,01/05/2018,UN passport holders and others,Unknown,10.0
663,01/06/2018,Europe,Unknown,11093.0
664,01/06/2018,Asia,Unknown,19462.0
665,01/06/2018,Africa,Unknown,1101.0
666,01/06/2018,Americas,Unknown,4683.0
667,01/06/2018,Oceania,Unknown,2986.0
668,01/06/2018,the Middle East,Unknown,4566.0
669,01/06/2018,UN passport holders and others,Unknown,13.0
670,01/07/2018,Europe,Unknown,21193.0
671,01/07/2018,Asia,Unknown,18431.0
672,01/07/2018,Africa,Unknown,1595.0
673,01/07/2018,Americas,Unknown,5117.0
674,01/07/2018,Oceania,Unknown,3957.0
675,01/07/2018,the Middle East,Unknown,6693.0
676,01/07/2018,UN passport holders and others,Unknown,15.0
677,01/08/2018,Europe,Unknown,20847.0
678,01/08/2018,Asia,Unknown,17039.0
679,01/08/2018,Africa,Unknown,1649.0
680,01/08/2018,Americas,Unknown,4594.0
681,01/08/2018,Oceania,Unknown,3017.0
682,01/08/2018,the Middle East,Unknown,7417.0
683,01/08/2018,UN passport holders and others,Unknown,17.0
684,01/09/2018,Europe,Unknown,17014.0
685,01/09/2018,Asia,Unknown,15709.0
686,01/09/2018,Africa,Unknown,1449.0
687,01/09/2018,Americas,Unknown,5055.0
688,01/09/2018,Oceania,Unknown,4200.0
689,01/09/2018,the Middle East,Unknown,3946.0
690,01/09/2018,UN passport holders and others,Unknown,12.0
691,01/10/2018,Europe,Unknown,24403.0
692,01/10/2018,Asia,Unknown,17195.0
693,01/10/2018,Africa,Unknown,1156.0
694,01/10/2018,Americas,Unknown,5314.0
695,01/10/2018,Oceania,Unknown,4068.0
696,01/10/2018,the Middle East,Unknown,2982.0
697,01/10/2018,UN passport holders and others,Unknown,8.0
698,01/11/2018,Europe,Unknown,22469.0
699,01/11/2018,Asia,Unknown,16899.0
700,01/11/2018,Africa,Unknown,949.0
701,01/11/2018,Americas,Unknown,6830.0
702,01/11/2018,Oceania,Unknown,3215.0
703,01/11/2018,the Middle East,Unknown,3429.0
704,01/11/2018,UN passport holders and others,Unknown,20.0
705,01/12/2018,Europe,Unknown,29746.0
706,01/12/2018,Asia,Unknown,19176.0
707,01/12/2018,Africa,Unknown,2361.0
708,01/12/2018,Americas,Unknown,7620.0
709,01/12/2018,Oceania,Unknown,2971.0
710,01/12/2018,the Middle East,Unknown,4517.0
711,01/12/2018,UN passport holders and others,Unknown,18.0
712,01/01/2019,Europe,Unknown,29945.0
713,01/01/2019,Asia,Unknown,14176.0
714,01/01/2019,Africa,Unknown,1453.0
715,01/01/2019,Americas,Unknown,7239.0
716,01/01/2019,Oceania,Unknown,3503.0
717,01/01/2019,the Middle East,Unknown,4200.0
718,01/01/2019,UN passport holders and others,Unknown,16.0
719,01/02/2019,Europe,Unknown,33054.0
720,01/02/2019,Asia,Unknown,15178.0
721,01/02/2019,Africa,Unknown,1050.0
722,01/02/2019,Americas,Unknown,8358.0
723,01/02/2019,Oceania,Unknown,2843.0
724,01/02/2019,the Middle East,Unknown,3651.0
725,01/02/2019,UN passport holders and others,Unknown,17.0
726,01/03/2019,Europe,Unknown,27401.0
727,01/03/2019,Asia,Unknown,18176.0
728,01/03/2019,Africa,Unknown,1585.0
729,01/03/2019,Americas,Unknown,10207.0
730,01/03/2019,Oceania,Unknown,4105.0
731,01/03/2019,the Middle East,Unknown,4959.0
732,01/03/2019,UN passport holders and others,Unknown,22.0
733,01/04/2019,Europe,Unknown,28810.0
734,01/04/2019,Asia,Unknown,22873.0
735,01/04/2019,Africa,Unknown,1833.0
736,01/04/2019,Americas,Unknown,7393.0
737,01/04/2019,Oceania,Unknown,4990.0
738,01/04/2019,the Middle East,Unknown,6443.0
739,01/04/2019,UN passport holders and others,Unknown,24.0
740,01/05/2019,Europe,Unknown,11471.0
741,01/05/2019,Asia,Unknown,15674.0
742,01/05/2019,Africa,Unknown,734.0
743,01/05/2019,Americas,Unknown,5395.0
744,01/05/2019,Oceania,Unknown,3542.0
745,01/05/2019,the Middle East,Unknown,741.0
746,01/05/2019,UN passport holders and others,Unknown,18.0
747,01/06/2019,Europe,Unknown,13429.0
748,01/06/2019,Asia,Unknown,18252.0
749,01/06/2019,Africa,Unknown,1549.0
750,01/06/2019,Americas,Unknown,5356.0
751,01/06/2019,Oceania,Unknown,3062.0
752,01/06/2019,the Middle East,Unknown,7685.0
753,01/06/2019,UN passport holders and others,Unknown,35.0
754,01/07/2019,Europe,Unknown,23658.0
755,01/07/2019,Asia,Unknown,16608.0
756,01/07/2019,Africa,Unknown,1526.0
757,01/07/2019,Americas,Unknown,5873.0
758,01/07/2019,Oceania,Unknown,4075.0
759,01/07/2019,the Middle East,Unknown,7105.0
760,01/07/2019,UN passport holders and others,Unknown,35.0
761,01/08/2019,Europe,Unknown,22342.0
762,01/08/2019,Asia,Unknown,17967.0
763,01/08/2019,Africa,Unknown,1825.0
764,01/08/2019,Americas,Unknown,5310.0
765,01/08/2019,Oceania,Unknown,3191.0
766,01/08/2019,the Middle East,Unknown,7990.0
767,01/08/2019,UN passport holders and others,Unknown,23.0
768,01/09/2019,Europe,Unknown,19452.0
769,01/09/2019,Asia,Unknown,17003.0
770,01/09/2019,Africa,Unknown,1730.0
771,01/09/2019,Americas,Unknown,5982.0
772,01/09/2019,Oceania,Unknown,3952.0
773,01/09/2019,the Middle East,Unknown,4613.0
774,01/09/2019,UN passport holders and others,Unknown,32.0
775,01/10/2019,Europe,Unknown,27587.0
776,01/10/2019,Asia,Unknown,18803.0
777,01/10/2019,Africa,Unknown,1059.0
778,01/10/2019,Americas,Unknown,6496.0
779,01/10/2019,Oceania,Unknown,4146.0
780,01/10/2019,the Middle East,Unknown,3477.0
781,01/10/2019,UN passport holders and others,Unknown,23.0
782,01/11/2019,Europe,Unknown,26282.0
783,01/11/2019,Asia,Unknown,16213.0
784,01/11/2019,Africa,Unknown,1192.0
785,01/11/2019,Americas,Unknown,8020.0
786,01/11/2019,Oceania,Unknown,3621.0
787,01/11/2019,the Middle East,Unknown,4255.0
788,01/11/2019,UN passport holders and others,Unknown,42.0
789,01/12/2019,Europe,Unknown,33298.0
790,01/12/2019,Asia,Unknown,20018.0
791,01/12/2019,Africa,Unknown,3159.0
792,01/12/2019,Americas,Unknown,9165.0
793,01/12/2019,Oceania,Unknown,3110.0
794,01/12/2019,the Middle East,Unknown,4884.0
795,01/12/2019,UN passport holders and others,Unknown,29.0
796,01/01/2020,Europe,Unknown,33880.0
797,01/01/2020,Asia,Unknown,13173.0
798,01/01/2020,Africa,Unknown,1536.0
799,01/01/2020,Americas,Unknown,8078.0
800,01/01/2020,Oceania,Unknown,2926.0
801,01/01/2020,the Middle East,Unknown,7297.0
802,01/01/2020,UN passport holders and others,Unknown,23.0
803,01/02/2020,Europe,Unknown,35528.0
804,01/02/2020,Asia,Unknown,14617.0
805,01/02/2020,Africa,Unknown,1118.0
806,01/02/2020,Americas,Unknown,2917.0
807,01/02/2020,Oceania,Unknown,220.0
808,01/02/2020,the Middle East,Unknown,4793.0
809,01/02/2020,UN passport holders and others,Unknown,21.0
810,01/03/2020,Europe,Unknown,13290.0
811,01/03/2020,Asia,Unknown,4959.0
812,01/03/2020,Africa,Unknown,658.0
813,01/03/2020,Americas,Unknown,1363.0
814,01/03/2020,Oceania,Unknown,80.0
815,01/03/2020,the Middle East,Unknown,1346.0
816,01/03/2020,UN passport holders and others,Unknown,7.0
817,01/04/2020,Europe,Unknown,0.0
818,01/04/2020,Asia,Unknown,11.0
819,01/04/2020,Africa,Unknown,0.0
820,01/04/2020,Americas,Unknown,0.0
821,01/04/2020,Oceania,Unknown,0.0
822,01/04/2020,the Middle East,Unknown,1.0
823,01/04/2020,UN passport holders and others,Unknown,0.0
824,01/05/2020,Europe,Unknown,24.0
825,01/05/2020,Asia,Unknown,3.0
826,01/05/2020,Africa,Unknown,0.0
827,01/05/2020,Americas,Unknown,0.0
828,01/05/2020,Oceania,Unknown,0.0
829,01/05/2020,the Middle East,Unknown,0.0
830,01/05/2020,UN passport holders and others,Unknown,0.0
831,01/06/2020,Europe,Unknown,0.0
832,01/06/2020,Asia,Unknown,0.0
833,01/06/2020,Africa,Unknown,0.0
834,01/06/2020,Americas,Unknown,0.0
835,01/06/2020,Oceania,Unknown,0.0
836,01/06/2020,the Middle East,Unknown,0.0
837,01/06/2020,UN passport holders and others,Unknown,0.0
838,01/07/2020,Europe,Unknown,501.0
839,01/07/2020,Asia,Unknown,75.0
840,01/07/2020,Africa,Unknown,55.0
841,01/07/2020,Americas,Unknown,66.0
842,01/07/2020,Oceania,Unknown,12.0
843,01/07/2020,the Middle East,Unknown,247.0
844,01/07/2020,UN passport holders and others,Unknown,0.0
845,01/08/2020,Europe,Unknown,1570.0
846,01/08/2020,Asia,Unknown,396.0
847,01/08/2020,Africa,Unknown,163.0
848,01/08/2020,Americas,Unknown,296.0
849,01/08/2020,Oceania,Unknown,13.0
850,01/08/2020,the Middle East,Unknown,2068.0
851,01/08/2020,UN passport holders and others,Unknown,0.0
852,01/09/2020,Europe,Unknown,2113.0
853,01/09/2020,Asia,Unknown,371.0
854,01/09/2020,Africa,Unknown,159.0
855,01/09/2020,Americas,Unknown,584.0
856,01/09/2020,Oceania,Unknown,5.0
857,01/09/2020,the Middle East,Unknown,1627.0
858,01/09/2020,UN passport holders and others,Unknown,3.0
859,01/10/2020,Europe,Unknown,4869.0
860,01/10/2020,Asia,Unknown,690.0
861,01/10/2020,Africa,Unknown,270.0
862,01/10/2020,Americas,Unknown,827.0
863,01/10/2020,Oceania,Unknown,29.0
864,01/10/2020,the Middle East,Unknown,1822.0
865,01/10/2020,UN passport holders and others,Unknown,8.0
866,01/11/2020,Europe,Unknown,6984.0
867,01/11/2020,Asia,Unknown,888.0
868,01/11/2020,Africa,Unknown,503.0
869,01/11/2020,Americas,Unknown,1297.0
870,01/11/2020,Oceania,Unknown,27.0
871,01/11/2020,the Middle East,Unknown,2530.0
872,01/11/2020,UN passport holders and others,Unknown,18.0
873,01/12/2020,Europe,Unknown,24327.0
874,01/12/2020,Asia,Unknown,1891.0
875,01/12/2020,Africa,Unknown,1996.0
876,01/12/2020,Americas,Unknown,1924.0
877,01/12/2020,Oceania,Unknown,121.0
878,01/12/2020,the Middle East,Unknown,4557.0
879,01/12/2020,UN passport holders and others,Unknown,16.0
